epoch,score,valence_mae,valence_mse,valence_pearson,arousal_mae,arousal_mse,arousal_pearson,n_val,seed,model_name,max_length,lr,weight_decay,dropout
1,-0.1771461250130027,1.3994130675988745,2.4790884628309837,-0.051497006095087436,0.6775107786143567,0.5328532062783741,-0.30279524393091795,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
1,0.054752983665442914,1.207338633847102,1.7626478467000526,0.2715170899394286,0.8337626659263999,0.7421346946111651,-0.16201112260854275,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
1,-0.1771461250130027,1.3994130675988745,2.4790884628309837,-0.051497006095087436,0.6775107786143567,0.5328532062783741,-0.30279524393091795,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
1,0.054752983665442914,1.207338633847102,1.7626478467000526,0.2715170899394286,0.8337626659263999,0.7421346946111651,-0.16201112260854275,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
1,-0.2551809724014048,1.4644874323180503,2.683027277478304,-0.06370117348182243,0.7788307326661665,0.6510015873468115,-0.4466607713209872,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
1,-0.15454943473827998,1.3201728365936523,2.1442681230159435,0.15250730255744083,0.9980145002489036,1.0450260287745556,-0.4616061720340008,177,42,microsoft/deberta-v3-base,64,2e-05,0.01,0.1
subtask1_transformer_20260120_055312_42,1,0.387699998399386,1.2490455865859986,0.14264116947676003,0.22281181855768137,0.06247052039583869,1.0558018684387207,2.1232306957244873,0.9403772354125977,1.381716251373291,5,42,microsoft/deberta-v3-base,128,2e-05,0.01,0.1,simple,cd4d8980b12d5eee87bff397bc7f511f03e0153ee1bb6838c73f5bdf3a1c6215,/Users/araj/Documents/Code/Machine Learning/semeval-task2/semeval-2-emotion-dynamics/reports/splits/subtask1_unseen_user_seed42.json
subtask1_transformer_20260120_063512_42,1,0.387699998399386,1.2490455865859986,0.14264116947676003,0.22281181855768137,0.06247052039583869,1.0558018684387207,2.1232306957244873,0.9403772354125977,1.381716251373291,5,42,microsoft/deberta-v3-base,128,2e-05,0.01,0.1,simple,cd4d8980b12d5eee87bff397bc7f511f03e0153ee1bb6838c73f5bdf3a1c6215,/Users/araj/Documents/Code/Machine Learning/semeval-task2/semeval-2-emotion-dynamics/reports/splits/subtask1_unseen_user_seed42.json
subtask1_transformer_20260120_064119_42,1,0.387699998399386,1.2490455865859986,0.14264116947676003,0.22281181855768137,0.06247052039583869,1.0558018684387207,2.1232306957244873,0.9403772354125977,1.381716251373291,5,42,microsoft/deberta-v3-base,128,2e-05,0.01,0.1,simple,cd4d8980b12d5eee87bff397bc7f511f03e0153ee1bb6838c73f5bdf3a1c6215,/Users/araj/Documents/Code/Machine Learning/semeval-task2/semeval-2-emotion-dynamics/reports/splits/subtask1_unseen_user_seed42.json
